Tempo_s,Voltagem_V
0.06315398216247559,1.2364
0.1575150489807129,1.2361
0.22157073020935059,1.2368
0.28421735763549805,1.236
0.37990474700927734,1.2354
0.4443693161010742,1.235
0.5403125286102295,1.2348
0.6041126251220703,1.235
0.6991493701934814,1.2351
0.7940506935119629,1.2344
0.8596272468566895,1.2343
0.947319746017456,1.2343
1.0165972709655762,1.2348
1.0965478420257568,1.2349
1.1917798519134521,1.2355
1.254507064819336,1.2355
1.3516273498535156,1.2359
1.414923906326294,1.2359
1.509948492050171,1.236
1.5740983486175537,1.2353
1.6698169708251953,1.2356
1.7334399223327637,1.2356
1.8280525207519531,1.2356
1.9070613384246826,1.2363
1.9716057777404785,1.2366
2.0751819610595703,1.2368
2.131120443344116,1.2368
2.2274701595306396,1.2369
2.2897698879241943,1.237
2.386094331741333,1.2366
2.449169158935547,1.237
2.5443992614746094,1.2371
2.6421897411346436,1.2374
2.6921567916870117,1.2373
2.7848501205444336,1.2369
2.8493199348449707,1.2371
2.945297956466675,1.237
3.017061233520508,1.2368
3.1066062450408936,1.2373
3.169100284576416,1.2376
3.2659060955047607,1.2376
3.3293840885162354,1.2378
3.4074547290802,1.2376
3.5039851665496826,1.2373
3.5667498111724854,1.2375
3.662912607192993,1.2371
3.7271056175231934,1.2376
3.823629379272461,1.2375
3.8873746395111084,1.2378
3.983821153640747,1.2378
4.054975986480713,1.2374
4.150681495666504,1.2379
4.20671010017395,1.238
4.31013298034668,1.238
4.373898983001709,1.2381
4.470207929611206,1.2379
4.548712253570557,1.2376
4.613088846206665,1.238
4.708241939544678,1.2381
4.77486515045166,1.238
4.872142314910889,1.2386
4.933515548706055,1.2381
5.024786472320557,1.238
5.0886030197143555,1.2381
5.183273792266846,1.2381
5.246333122253418,1.2376
5.342133522033691,1.238
5.403734445571899,1.2376
5.4986701011657715,1.238
5.593954801559448,1.2379
5.657650947570801,1.2378
5.752844572067261,1.2381
5.817343473434448,1.2385
5.91354513168335,1.2379
5.977193117141724,1.2383
6.071338415145874,1.2383
6.127703905105591,1.2379
6.222723722457886,1.2376
6.285905599594116,1.2379
6.38243842124939,1.2378
6.44538950920105,1.2379
6.541859865188599,1.2378
6.60551381111145,1.2374
6.700488328933716,1.2373
6.764837980270386,1.2376
6.8590075969696045,1.2375
6.954084873199463,1.2378
7.0182647705078125,1.2374
7.0913779735565186,1.2378
7.186302185058594,1.2376
7.248932361602783,1.2375
7.344868421554565,1.2378
7.40828800201416,1.2376
7.503985166549683,1.2373
7.567183971405029,1.2375
7.663060903549194,1.2373
7.726057291030884,1.237
7.8219873905181885,1.237
7.8861024379730225,1.2368
7.9812257289886475,1.2374
8.044992923736572,1.2369
8.127334833145142,1.2368
8.222091436386108,1.237
8.28495478630066,1.237
8.381913900375366,1.2365
8.446179151535034,1.2369
8.541015148162842,1.2364
8.604175806045532,1.2363
8.702055931091309,1.2366
8.764155149459839,1.2368
8.860081911087036,1.2369
8.95499038696289,1.2373
9.017592430114746,1.2365
9.123537302017212,1.2368
9.186811208724976,1.2368
9.283606767654419,1.2369
9.344038248062134,1.2369
9.423730373382568,1.2371
9.48713755607605,1.2366
9.583330869674683,1.2368
9.646295070648193,1.2365
9.742502927780151,1.2368
9.805557489395142,1.2368
9.901355266571045,1.2365
9.96371865272522,1.2366
10.06018877029419,1.236
10.12798261642456,1.2365
10.223266363143921,1.2366
10.285908460617065,1.2368
10.381961822509766,1.2365
10.444969892501831,1.2363
10.54051399230957,1.2366
10.603338241577148,1.2366
10.698887825012207,1.2365
10.794843196868896,1.2366
10.857268333435059,1.2365
10.952635049819946,1.2369
11.015799760818481,1.2369
11.096152305603027,1.2373
11.168335676193237,1.237
11.263162612915039,1.237
11.326021432876587,1.2369
11.42210841178894,1.2369
11.484862089157104,1.237
11.565237045288086,1.2371
11.660251140594482,1.2369
11.754676818847656,1.2368
11.81787395477295,1.2369
11.890354871749878,1.2368
11.982100248336792,1.2368
12.065277576446533,1.2369
12.128397226333618,1.2366
12.225507020950317,1.2369
12.288746356964111,1.2365
12.384175777435303,1.2363
12.44849944114685,1.2368
12.544341325759888,1.2365
12.607494354248047,1.2364
12.703285694122314,1.236
12.766305685043335,1.2363
12.8459153175354,1.2366
12.941805124282837,1.2361
13.004706621170044,1.2364
13.10033106803894,1.2363
13.171689748764038,1.2359
13.266866445541382,1.2361
13.346988439559937,1.2363
13.410054445266724,1.2361
13.506190538406372,1.2363
13.570253610610962,1.2358
13.667032480239868,1.236
13.728924989700317,1.2358
13.824727296829224,1.236
13.887727737426758,1.2361
13.984254598617554,1.2359
14.046817064285278,1.2355
14.126349687576294,1.2361
14.20790433883667,1.236
14.3027024269104,1.2354
14.366135358810425,1.235
14.462146997451782,1.2354
14.52516508102417,1.2353
14.620842695236206,1.2354
14.684058427810669,1.2351
14.779284000396729,1.2351
14.843538045883179,1.235
14.95584511756897,1.235
15.019081354141235,1.2353
15.114292860031128,1.2349
15.176335096359253,1.2351
15.249709129333496,1.2345
15.344325542449951,1.2349
15.407400846481323,1.2349
15.504462957382202,1.2345
15.568151712417603,1.2344
15.662537813186646,1.2349
15.735350847244263,1.2351
15.815202474594116,1.2348
15.910319566726685,1.2348
15.974580764770508,1.2348
16.07049012184143,1.2346
16.134400367736816,1.2345
16.230083465576172,1.2345
16.293410539627075,1.2346
16.388602256774902,1.2344
16.453582286834717,1.2345
16.53275179862976,1.2346
16.62870168685913,1.2346
16.69176149368286,1.2343
16.787757635116577,1.2348
16.850962162017822,1.235
16.946728467941284,1.2348
17.00974440574646,1.2348
17.106414318084717,1.2348
17.170412063598633,1.2346
17.254079341888428,1.2349
17.34937357902527,1.2349
17.411754846572876,1.2349
17.508368015289307,1.2348
17.571544408798218,1.2346
17.668595552444458,1.2346
17.731337070465088,1.2348
17.827542304992676,1.235
17.890339612960815,1.2351
17.971022605895996,1.2346
18.06544256210327,1.2349
18.12888479232788,1.2348
18.224272966384888,1.2349
18.295969486236572,1.2348
18.391870498657227,1.2349
18.47081685066223,1.2348
18.53475332260132,1.235
18.63011407852173,1.2348
18.693641901016235,1.2346
18.789830207824707,1.2346
18.854048252105713,1.2346
18.948229551315308,1.2348
19.0111186504364,1.2346
19.106736660003662,1.2348
19.169946908950806,1.2349
19.261146306991577,1.2344
19.324129819869995,1.2345
19.41940689086914,1.2345
19.515109300613403,1.2345
19.577852249145508,1.2344
19.65787434577942,1.2344
19.753480195999146,1.2345
19.81801128387451,1.2346
19.913118362426758,1.234
19.976154565811157,1.2344
20.07205867767334,1.2341
20.13491678237915,1.234
20.231956481933594,1.2345
20.292972564697266,1.2345
20.38848638534546,1.2344
20.451934099197388,1.2344
20.547040700912476,1.2344
20.609753608703613,1.2345
20.68980646133423,1.2345
20.785597562789917,1.2344
20.84866237640381,1.2343
20.944403648376465,1.2345
21.016765117645264,1.2345
21.113063097000122,1.2343
21.176864624023438,1.2343
21.272396564483643,1.2343
21.344475030899048,1.2348
21.407789945602417,1.2346
21.503783464431763,1.2344
21.567314624786377,1.2345
21.662860870361328,1.2346
21.725937128067017,1.2345
21.822014808654785,1.2348
21.884711742401123,1.2346
21.98098587989807,1.2346
22.04387927055359,1.2343
22.138875484466553,1.2344
22.234966039657593,1.2344
22.292284965515137,1.2341
22.38166117668152,1.2343
22.44584894180298,1.2348
22.541849851608276,1.2348
22.60530424118042,1.2343
22.700525045394897,1.2345
22.7635498046875,1.2346
22.860876321792603,1.2346
22.94105625152588,1.2345
23.00465440750122,1.234
23.100264072418213,1.2346
23.195775747299194,1.2348
23.258599758148193,1.2348
23.323650121688843,1.2343
23.41179323196411,1.2348
23.508501291275024,1.2346
23.570662260055542,1.2345
23.666736841201782,1.2346
23.730793714523315,1.2346
23.824867963790894,1.2346
23.888286590576172,1.2346
23.984926223754883,1.2348
24.064632177352905,1.2345
24.129051685333252,1.2346
24.224194049835205,1.2351
24.297624826431274,1.2353
24.365394592285156,1.2349
24.46039628982544,1.2349
24.55473494529724,1.235
24.61864948272705,1.2351
24.71470355987549,1.2348
24.777320861816406,1.2355
24.8738853931427,1.2353
24.93745708465576,1.2354
25.033682823181152,1.235
25.096935749053955,1.2354
25.191753387451172,1.2354
25.255351305007935,1.2354
25.358649492263794,1.2353
25.422526359558105,1.2351
25.48688292503357,1.2351
25.581987857818604,1.2351
25.64506483078003,1.2353
25.741084575653076,1.2353
25.80387568473816,1.235
25.900136947631836,1.2358
25.963998794555664,1.2349
26.05940580368042,1.2354
26.155086994171143,1.2354
26.21847367286682,1.2348
26.29879140853882,1.2348
26.371872186660767,1.235
26.468005180358887,1.2351
26.530586004257202,1.235
26.626282691955566,1.2349
26.705349683761597,1.2348
26.76953363418579,1.235
26.865965366363525,1.2351
26.929271459579468,1.2349
27.024898767471313,1.2348
27.088135719299316,1.2349
27.17357873916626,1.235
27.26884412765503,1.2355
27.332026958465576,1.2348
27.436299800872803,1.2353
27.490599870681763,1.235
27.587103128433228,1.235
27.649967670440674,1.235
27.74517822265625,1.2351
27.807363986968994,1.2351
27.903584957122803,1.235
27.966142416000366,1.2349
28.061600923538208,1.2349
28.12641167640686,1.2355
28.204965829849243,1.2351
28.3010995388031,1.2349
28.36428451538086,1.2349
28.46164894104004,1.235
28.525564432144165,1.2349
28.621460914611816,1.2348
28.68426537513733,1.2348
28.780898809432983,1.2351
28.843793153762817,1.2344
28.924249410629272,1.2348
29.019836902618408,1.235
29.115960597991943,1.2348
29.17835545539856,1.2348
29.274712324142456,1.235
29.337369918823242,1.235
29.426342248916626,1.2353
29.488691806793213,1.2351
29.58422017097473,1.2348
29.656553506851196,1.2351
29.75203227996826,1.2346
29.814690351486206,1.2349
29.912052869796753,1.2351
29.975594997406006,1.2349
