Tempo_s,Voltagem_V
0.028554201126098633,1.7904
0.12382340431213379,1.7914
0.1865701675415039,1.7926
0.28256845474243164,1.7895
0.34608936309814453,1.7906
0.4409811496734619,1.7905
0.5040323734283447,1.7924
0.5996265411376953,1.7888
0.6634864807128906,1.7884
0.75765061378479,1.7895
0.8300576210021973,1.7888
0.9175889492034912,1.7884
0.9808869361877441,1.7879
1.0773446559906006,1.79
1.1405768394470215,1.791
1.2361512184143066,1.7928
1.332270622253418,1.7919
1.3960082530975342,1.7905
1.4921627044677734,1.7903
1.5553483963012695,1.7891
1.621483325958252,1.7893
1.7162551879882812,1.789
1.8161725997924805,1.7885
1.8793542385101318,1.7884
1.9444475173950195,1.788
2.038994789123535,1.7883
2.101443290710449,1.7884
2.1987786293029785,1.7883
2.2609102725982666,1.7888
2.3560564517974854,1.7883
2.451953411102295,1.7888
2.5155653953552246,1.7888
2.6103291511535645,1.7891
2.6733298301696777,1.7889
2.7698376178741455,1.7894
2.832109212875366,1.789
2.926887273788452,1.7889
2.989687919616699,1.7886
3.0855205059051514,1.7884
3.1478469371795654,1.7885
3.244415283203125,1.7884
3.307875156402588,1.7885
3.403433322906494,1.7883
3.467120409011841,1.7883
3.561920166015625,1.7881
3.6239588260650635,1.7883
3.721592903137207,1.7881
3.783911943435669,1.7884
3.878077745437622,1.7881
3.942438840866089,1.7883
4.036901473999023,1.7883
4.132450103759766,1.7883
4.1949756145477295,1.7881
4.291623830795288,1.7883
4.354608535766602,1.7883
4.450648784637451,1.7884
4.513455629348755,1.7888
4.6095640659332275,1.7884
4.672996520996094,1.7885
4.768489837646484,1.7883
4.831546306610107,1.7883
4.921000957489014,1.7885
4.98339319229126,1.7884
5.079676866531372,1.7885
5.142660617828369,1.7881
5.238511800765991,1.7888
5.301169157028198,1.7884
5.381130933761597,1.7886
5.4768571853637695,1.7886
5.572881698608398,1.7885
5.63593864440918,1.7888
5.701232671737671,1.7889
5.796789169311523,1.7888
5.8849897384643555,1.7885
5.949513912200928,1.7885
6.044850587844849,1.7886
6.107325792312622,1.7888
6.203679084777832,1.7888
6.265440464019775,1.7888
6.362027168273926,1.7888
6.436065435409546,1.7886
6.530581712722778,1.7888
6.594471216201782,1.7885
6.689899682998657,1.7886
6.752858877182007,1.7886
6.849400997161865,1.7884
6.910181999206543,1.7886
7.000430107116699,1.789
7.0601770877838135,1.7888
7.160816192626953,1.7886
7.223432779312134,1.7886
7.30285906791687,1.7885
7.398754596710205,1.7888
7.461683511734009,1.7888
7.557672739028931,1.7888
7.62091064453125,1.7888
7.717472076416016,1.7886
7.813124179840088,1.7885
7.876239061355591,1.7886
7.965363025665283,1.7886
8.028236627578735,1.7883
8.124970197677612,1.7885
8.187002182006836,1.7888
8.282784223556519,1.7886
8.345488548278809,1.789
8.441911458969116,1.7885
8.52996301651001,1.7886
8.592309951782227,1.7884
8.688112020492554,1.7885
8.752357959747314,1.7886
8.846426248550415,1.7886
8.908847570419312,1.7885
8.999924421310425,1.7886
9.062982320785522,1.7888
9.157992124557495,1.7885
9.221123456954956,1.7886
9.31722617149353,1.7885
9.38164496421814,1.7885
9.477152824401855,1.7886
9.573395490646362,1.7883
9.645416021347046,1.7888
9.726009607315063,1.7886
9.78868579864502,1.7886
9.885835409164429,1.7881
9.949119567871094,1.7883
10.030406475067139,1.789
10.126618146896362,1.7885
10.188434839248657,1.7884
10.285033941268921,1.7886
10.347782611846924,1.7883
10.443697452545166,1.7885
10.522298574447632,1.7884
10.586275100708008,1.7883
10.681723594665527,1.7884
10.744608879089355,1.7884
10.840667486190796,1.7883
10.903064727783203,1.7885
10.990711688995361,1.7886
11.065062761306763,1.7884
11.159251928329468,1.7881
11.222683906555176,1.7886
11.318390607833862,1.7884
11.397889852523804,1.7884
11.461409330368042,1.7885
11.55715012550354,1.7884
11.652389764785767,1.7884
11.715811014175415,1.7885
11.812609910964966,1.7884
11.874603271484375,1.7883
11.969484329223633,1.7883
12.025361776351929,1.788
12.121942281723022,1.7883
12.194207191467285,1.7881
12.289437294006348,1.7884
12.35241961479187,1.788
12.447736740112305,1.7881
12.511948347091675,1.7884
12.607818603515625,1.7881
12.670764684677124,1.7881
12.766343832015991,1.7879
12.830122709274292,1.7881
12.926003456115723,1.7881
12.989698648452759,1.7883
13.077597618103027,1.7884
13.141618967056274,1.7881
13.238926410675049,1.7884
