Tempo_s,Corrente_A
0.05499100685119629,0.000126
0.15460777282714844,0.000126
0.21219611167907715,0.000126
0.30313801765441895,0.000126
0.39328455924987793,0.000126
0.4604344367980957,0.000126
0.550912618637085,0.000126
0.6247787475585938,0.000126
0.7123317718505859,0.000126
0.7775707244873047,0.000126
0.8621120452880859,0.000126
0.9365630149841309,0.000126
1.0190777778625488,0.000126
1.0868606567382812,0.000126
1.1791038513183594,0.000126
1.270033359527588,0.000126
1.3435263633728027,0.000126
1.4363467693328857,0.000126
1.4922521114349365,0.000126
1.5921664237976074,0.000126
1.686126470565796,0.000126
1.7423005104064941,0.000126
1.8360085487365723,0.000126
1.8922054767608643,0.000126
1.9931843280792236,0.000126
2.0500688552856445,0.000126
2.1415696144104004,0.000126
2.208721160888672,0.000126
2.3234636783599854,0.000126
2.3835954666137695,0.000126
2.4501309394836426,0.000126
2.541863203048706,0.000126
2.610680341720581,0.000126
2.689394474029541,0.000126
2.8039205074310303,0.000126
2.877537965774536,0.000126
2.9523277282714844,0.000126
3.034844398498535,0.000126
3.102085828781128,0.000126
3.191276788711548,0.000126
3.257890462875366,0.000126
3.3502919673919678,0.000126
3.4149956703186035,0.000126
3.5070888996124268,0.000126
3.5661182403564453,0.000126
3.6616404056549072,0.000126
3.7639222145080566,0.000126
3.820563554763794,0.000126
3.9127631187438965,0.000126
3.9690487384796143,0.000126
4.047502279281616,0.000126
4.125873565673828,0.000126
4.239588260650635,0.000126
4.306022644042969,0.000126
4.3717827796936035,0.000126
4.478368282318115,0.000126
4.534976482391357,0.000126
4.605450391769409,0.000126
4.692075490951538,0.000126
4.783151865005493,0.000126
4.853477716445923,0.000126
4.945253372192383,0.000126
5.035065174102783,0.000126
5.109357833862305,0.000126
5.192168951034546,0.000126
5.254390001296997,0.000126
5.358485460281372,0.000126
5.4236414432525635,0.000126
5.498971223831177,0.000126
5.599753379821777,0.000126
5.657072305679321,0.000126
5.7664103507995605,0.000126
5.822925329208374,0.000126
5.913856267929077,0.000126
5.969034194946289,0.000126
6.069747686386108,0.000126
6.136489629745483,0.000126
6.244610548019409,0.000126
6.31032133102417,0.000126
6.367140293121338,0.000126
6.457610130310059,0.000126
