Tempo_s,Voltagem_V
0.04629254341125488,0.4169
0.11095547676086426,0.4173
0.20749568939208984,0.4165
0.27150654792785645,0.417
0.3680078983306885,0.4169
0.4315345287322998,0.417
0.5270295143127441,0.4168
0.5916299819946289,0.4168
0.6875321865081787,0.4165
0.7677431106567383,0.4166
0.832301139831543,0.4168
0.9284403324127197,0.4166
0.9925925731658936,0.4168
1.088543176651001,0.4169
1.1673388481140137,0.4169
1.255326509475708,0.4166
1.3176684379577637,0.4168
1.4036002159118652,0.4165
1.499997615814209,0.4168
1.5520520210266113,0.4171
1.629500150680542,0.4169
1.724039077758789,0.417
1.7998993396759033,0.4169
1.8943829536437988,0.4169
1.9586572647094727,0.4168
2.037165880203247,0.4168
2.1316959857940674,0.4168
2.221978187561035,0.4164
2.295151710510254,0.4165
2.3529248237609863,0.4166
2.445347785949707,0.4166
2.536208391189575,0.4166
2.604562997817993,0.4164
2.674393892288208,0.4168
2.769490957260132,0.4166
2.8399503231048584,0.4168
2.9430649280548096,0.4166
2.988489866256714,0.4165
3.080137014389038,0.4164
3.1621487140655518,0.4165
3.2264628410339355,0.4165
3.3221209049224854,0.4164
3.3865559101104736,0.4165
3.4827775955200195,0.4165
3.589979887008667,0.4163
3.6305296421051025,0.4164
3.71140718460083,0.4168
3.7900218963623047,0.4165
3.8788089752197266,0.4165
3.9748106002807617,0.4165
4.039042234420776,0.4165
4.134528875350952,0.4165
4.198530673980713,0.4168
4.294792890548706,0.4166
4.358423948287964,0.4163
4.43881630897522,0.4166
4.5357513427734375,0.4166
4.599817514419556,0.4165
4.695682764053345,0.4165
4.772021770477295,0.4164
4.842329740524292,0.4165
4.925232887268066,0.4166
4.991024494171143,0.4164
5.091877222061157,0.4164
5.188179016113281,0.4161
5.242241382598877,0.4165
5.313479661941528,0.4168
5.409651517868042,0.4165
5.473555564880371,0.4169
5.570055723190308,0.4165
5.630033016204834,0.4166
5.7293243408203125,0.4161
5.794129848480225,0.4163
5.888806343078613,0.4165
5.952761650085449,0.4159
6.048166990280151,0.4165
6.1121203899383545,0.416
6.1864824295043945,0.4165
6.275136947631836,0.4164
6.346112489700317,0.4163
6.447051525115967,0.4164
6.522493600845337,0.4168
6.608214378356934,0.4164
6.664958477020264,0.4166
6.750258684158325,0.4169
6.8254499435424805,0.4161
6.921763181686401,0.4164
6.985383033752441,0.4163
7.081510782241821,0.416
7.145953893661499,0.4163
7.242066860198975,0.4163
7.305600881576538,0.4163
7.402581214904785,0.4164
7.4668498039245605,0.4165
7.562358379364014,0.416
7.6393914222717285,0.4161
7.732982635498047,0.4165
7.788494825363159,0.416
7.879951238632202,0.416
7.976778745651245,0.4164
8.040766954421997,0.4165
8.104947566986084,0.4165
8.203887224197388,0.4161
8.277989864349365,0.4164
8.372815608978271,0.4164
