Tempo_s,Voltagem_V
0.09237480163574219,0.2526
0.17096352577209473,0.2525
0.23493385314941406,0.2518
0.3145151138305664,0.2516
0.4093136787414551,0.2512
0.4977436065673828,0.2512
0.5597677230834961,0.2516
0.6552040576934814,0.2512
0.717803955078125,0.2509
0.813765287399292,0.2512
0.8768069744110107,0.2506
0.9717552661895752,0.2506
1.049968957901001,0.2501
1.113391399383545,0.2504
1.2087068557739258,0.2501
1.2714605331420898,0.2499
1.3662519454956055,0.2504
1.4294452667236328,0.2498
1.524137020111084,0.2499
1.6185636520385742,0.2498
1.6816976070404053,0.25
1.7756068706512451,0.2501
1.8282501697540283,0.2494
1.9336493015289307,0.2494
1.9968256950378418,0.2491
2.091480255126953,0.2491
2.185690402984619,0.249
2.2491118907928467,0.249
2.3123600482940674,0.2488
2.407411813735962,0.2488
2.4712882041931152,0.2488
2.5502986907958984,0.2489
2.645129442214966,0.2485
2.708637237548828,0.2478
2.8129236698150635,0.2478
2.8762640953063965,0.2485
2.9716429710388184,0.2483
3.051119804382324,0.248
3.1148431301116943,0.2481
3.210642099380493,0.2479
3.2849361896514893,0.2475
3.368173122406006,0.2478
3.4321537017822266,0.2476
3.5286169052124023,0.2471
3.605207920074463,0.2475
3.6860475540161133,0.2474
3.751309633255005,0.2473
3.8456854820251465,0.2473
3.940952777862549,0.247
3.994706869125366,0.2471
4.082783222198486,0.2466
4.176727294921875,0.247
4.239936828613281,0.2473
4.335972309112549,0.2474
4.399187803268433,0.2469
4.494948863983154,0.2464
4.556936264038086,0.2464
4.653609037399292,0.2468
4.716644048690796,0.2466
4.821631193161011,0.2464
4.885142087936401,0.2463
4.94820761680603,0.2463
5.043623208999634,0.2464
5.139055013656616,0.246
5.2026519775390625,0.2463
5.297338247299194,0.2458
5.360636234283447,0.2458
5.456622123718262,0.2456
5.519109487533569,0.246
5.615230321884155,0.2458
5.678654193878174,0.2458
5.77437162399292,0.2458
5.83698844909668,0.2454
5.932048559188843,0.2456
5.994139671325684,0.2454
6.089309453964233,0.2453
6.152845621109009,0.2456
6.247885465621948,0.2454
6.310051679611206,0.2455
