Tempo_s,Corrente_A
0.07070446014404297,2.4e-05
0.13533592224121094,2.4e-05
0.23598074913024902,2.4e-05
0.3084378242492676,2.4e-05
0.40199995040893555,2.4e-05
0.47440028190612793,2.4e-05
0.5656819343566895,2.4e-05
0.6235063076019287,2.4e-05
0.7218117713928223,2.3e-05
0.7901592254638672,2.3e-05
0.8703124523162842,2.3e-05
0.9436941146850586,2.3e-05
1.0282330513000488,2.3e-05
1.1275489330291748,2.3e-05
1.1831448078155518,2.3e-05
1.2836692333221436,2.3e-05
1.3433864116668701,2.3e-05
1.4295988082885742,2.3e-05
1.5026893615722656,2.3e-05
1.5934016704559326,2.3e-05
1.6617374420166016,2.3e-05
1.7575922012329102,2.3e-05
1.822077751159668,2.3e-05
1.912917137145996,2.3e-05
2.0112369060516357,2.3e-05
2.0589993000030518,2.3e-05
2.1512155532836914,2.3e-05
2.2210419178009033,2.3e-05
2.312955856323242,2.3e-05
2.4040603637695312,2.3e-05
2.4681732654571533,2.3e-05
2.5747082233428955,2.3e-05
2.6215038299560547,2.3e-05
2.69731068611145,2.3e-05
2.7800798416137695,2.3e-05
2.8785312175750732,2.3e-05
2.9427382946014404,2.3e-05
3.0434796810150146,2.3e-05
3.1080543994903564,2.3e-05
3.199796199798584,2.3e-05
3.2646243572235107,2.3e-05
3.3668859004974365,2.3e-05
3.448648691177368,2.3e-05
3.5244157314300537,2.3e-05
3.590325117111206,2.3e-05
3.66369366645813,2.3e-05
3.7668232917785645,2.3e-05
3.8224148750305176,2.3e-05
3.9209578037261963,2.3e-05
3.9776737689971924,2.3e-05
4.0698206424713135,2.3e-05
4.143985748291016,2.3e-05
4.233399391174316,2.3e-05
4.324293851852417,2.4e-05
4.391600608825684,2.4e-05
4.457275152206421,2.4e-05
4.556945085525513,2.4e-05
4.623917579650879,2.4e-05
4.724506378173828,2.4e-05
4.806367874145508,2.4e-05
4.873898029327393,2.4e-05
4.9629065990448,2.4e-05
5.036754369735718,2.4e-05
5.118053197860718,2.4e-05
5.184056282043457,2.4e-05
5.283205509185791,2.4e-05
5.343194961547852,2.4e-05
5.417742490768433,2.4e-05
5.517858505249023,2.4e-05
5.623476505279541,2.4e-05
5.658545732498169,2.4e-05
5.748331069946289,2.4e-05
5.84089732170105,2.4e-05
5.913635969161987,2.4e-05
5.98045015335083,2.4e-05
6.10399866104126,2.4e-05
6.151990175247192,2.4e-05
6.232968807220459,2.4e-05
6.295470952987671,2.4e-05
6.3870298862457275,2.4e-05
6.487576723098755,2.4e-05
6.5437703132629395,2.4e-05
6.618435859680176,2.4e-05
6.717046737670898,2.4e-05
6.789454936981201,2.4e-05
6.897667169570923,2.4e-05
6.949019432067871,2.4e-05
7.037897109985352,2.4e-05
7.127514839172363,2.4e-05
7.178288459777832,2.4e-05
7.284837007522583,2.4e-05
7.3410820960998535,2.4e-05
7.440760374069214,2.4e-05
7.497361183166504,2.4e-05
7.587677240371704,2.4e-05
7.673768043518066,2.4e-05
7.747134447097778,2.4e-05
7.847796440124512,2.4e-05
7.903275728225708,2.4e-05
8.004736185073853,2.4e-05
8.061195135116577,2.4e-05
8.154356241226196,2.4e-05
8.237808227539062,2.4e-05
8.302524089813232,2.4e-05
8.398139953613281,2.5e-05
8.479882001876831,2.5e-05
8.546035051345825,2.5e-05
8.646379709243774,2.5e-05
8.702807426452637,2.5e-05
8.793928146362305,2.5e-05
8.865797996520996,2.5e-05
8.9575355052948,2.5e-05
9.055009603500366,2.5e-05
9.120718955993652,2.5e-05
9.186630725860596,2.5e-05
9.285679340362549,2.5e-05
9.341981649398804,2.5e-05
9.442914485931396,2.5e-05
9.499597549438477,2.5e-05
9.609114408493042,2.5e-05
9.66582202911377,2.5e-05
9.762832164764404,2.5e-05
9.827322721481323,2.5e-05
9.918768405914307,2.5e-05
9.983744859695435,2.5e-05
10.08453893661499,2.5e-05
10.140586376190186,2.5e-05
10.242538452148438,2.5e-05
10.306628227233887,2.5e-05
10.380790710449219,2.5e-05
10.468559503555298,2.5e-05
10.557979583740234,2.5e-05
10.63424825668335,2.5e-05
10.70056700706482,2.5e-05
10.793571710586548,2.5e-05
10.89323091506958,2.5e-05
10.956967115402222,2.5e-05
11.048990964889526,2.5e-05
11.106059551239014,2.5e-05
11.197179794311523,2.5e-05
11.26288366317749,2.4e-05
11.35693883895874,2.5e-05
11.431822776794434,2.5e-05
11.497590065002441,2.5e-05
11.5892915725708,2.5e-05
11.68767523765564,2.5e-05
11.742939949035645,2.5e-05
11.835676670074463,2.5e-05
11.909461736679077,2.5e-05
12.017190217971802,2.5e-05
12.073405265808105,2.5e-05
12.149187564849854,2.5e-05
12.222870826721191,2.5e-05
12.313508987426758,2.5e-05
12.412842273712158,2.5e-05
12.46095323562622,2.5e-05
12.561134815216064,2.5e-05
12.618437767028809,2.5e-05
12.719217300415039,2.5e-05
12.783081531524658,2.5e-05
12.883708000183105,2.5e-05
12.958516597747803,2.4e-05
13.024864912033081,2.4e-05
13.118542909622192,2.5e-05
13.19213056564331,2.5e-05
13.257603406906128,2.5e-05
13.34165072441101,2.5e-05
13.434213399887085,2.5e-05
13.499274969100952,2.5e-05
13.600295305252075,2.5e-05
13.655300378799438,2.4e-05
13.747457265853882,2.5e-05
13.8419349193573,2.5e-05
13.898001432418823,2.4e-05
14.008995294570923,2.5e-05
14.072421312332153,2.4e-05
14.175621747970581,2.5e-05
14.232680559158325,2.5e-05
14.30858826637268,2.5e-05
14.399897575378418,2.5e-05
14.465112447738647,2.5e-05
14.538089752197266,2.4e-05
14.624274492263794,2.4e-05
14.71401333808899,2.5e-05
14.779297351837158,2.4e-05
14.878560304641724,2.4e-05
14.935397624969482,2.4e-05
15.033928394317627,2.4e-05
15.12466049194336,2.4e-05
15.189971446990967,2.4e-05
15.273663997650146,2.4e-05
15.347948789596558,2.4e-05
15.430106401443481,2.4e-05
15.504273653030396,2.4e-05
15.59768795967102,2.4e-05
15.687793016433716,2.4e-05
15.741191387176514,2.4e-05
15.82331657409668,2.4e-05
15.898529291152954,2.4e-05
16.006935834884644,2.4e-05
16.07099461555481,2.4e-05
16.137678861618042,2.4e-05
16.233174085617065,2.4e-05
16.297715187072754,2.4e-05
16.396830320358276,2.4e-05
16.48232102394104,2.4e-05
16.546127319335938,2.4e-05
16.648001432418823,2.4e-05
16.698039531707764,2.4e-05
16.795634508132935,2.4e-05
16.887193202972412,2.4e-05
16.936928749084473,2.4e-05
17.043826580047607,2.4e-05
17.102941513061523,2.4e-05
17.177218675613403,2.4e-05
17.268720149993896,2.4e-05
17.35184383392334,2.4e-05
17.41701054573059,2.4e-05
17.522924423217773,2.4e-05
17.59731888771057,2.4e-05
17.663114309310913,2.4e-05
17.772619485855103,2.4e-05
17.83578133583069,2.4e-05
17.901542901992798,2.4e-05
17.99451971054077,2.4e-05
18.0670645236969,2.4e-05
18.152419090270996,2.4e-05
18.226337909698486,2.4e-05
18.299949169158936,2.4e-05
18.38401961326599,2.4e-05
18.48219323158264,2.4e-05
18.540996313095093,2.4e-05
18.647722959518433,2.4e-05
18.710554122924805,2.4e-05
18.80355978012085,2.4e-05
18.886186599731445,2.4e-05
18.940040349960327,2.4e-05
19.044796228408813,2.4e-05
19.117897033691406,2.4e-05
19.183974504470825,2.4e-05
19.259541034698486,2.4e-05
19.35922646522522,2.4e-05
19.423218965530396,2.4e-05
19.522796392440796,2.4e-05
19.612008810043335,2.4e-05
19.67611598968506,2.4e-05
19.76777410507202,2.4e-05
19.832571506500244,2.4e-05
19.89844012260437,2.4e-05
19.994032859802246,2.4e-05
20.069546699523926,2.4e-05
20.15162229537964,2.4e-05
20.22368621826172,2.4e-05
20.32426357269287,2.4e-05
20.390228748321533,2.4e-05
20.48257327079773,2.4e-05
20.547553300857544,2.4e-05
20.62499475479126,2.4e-05
20.724160194396973,2.4e-05
20.7803852558136,2.4e-05
20.87934684753418,2.4e-05
20.935844898223877,2.4e-05
21.02802538871765,2.4e-05
21.127819299697876,2.4e-05
21.191659927368164,2.4e-05
21.27542805671692,2.4e-05
21.342018604278564,2.4e-05
21.452757120132446,2.4e-05
21.49767303466797,2.4e-05
21.60889434814453,2.4e-05
21.68262219429016,2.4e-05
21.755598783493042,2.4e-05
21.837759494781494,2.4e-05
21.910400867462158,2.4e-05
22.008992910385132,2.4e-05
22.08271026611328,2.4e-05
22.13932991027832,2.4e-05
22.2396297454834,2.4e-05
22.295889616012573,2.4e-05
22.392375230789185,2.4e-05
22.45809054374695,2.4e-05
22.556352853775024,2.4e-05
22.62335443496704,2.4e-05
22.698561429977417,2.4e-05
22.78869938850403,2.4e-05
22.899473905563354,2.4e-05
22.9441876411438,2.4e-05
23.025185346603394,2.4e-05
23.098548889160156,2.4e-05
23.1838059425354,2.4e-05
23.27423405647278,2.4e-05
23.3471040725708,2.4e-05
23.430747032165527,2.4e-05
23.50536346435547,2.4e-05
23.58774447441101,2.4e-05
23.662266969680786,2.4e-05
23.743585348129272,2.4e-05
23.817930698394775,2.4e-05
23.912342071533203,2.4e-05
23.994039297103882,2.4e-05
24.074024438858032,2.4e-05
24.149338960647583,2.4e-05
24.249412298202515,2.4e-05
24.305291891098022,2.4e-05
24.40729022026062,2.4e-05
24.47421407699585,2.4e-05
24.53618812561035,2.4e-05
24.629910469055176,2.4e-05
24.72002625465393,2.4e-05
24.785282850265503,2.4e-05
24.86732006072998,2.4e-05
24.939746141433716,2.4e-05
25.02392888069153,2.4e-05
25.123961925506592,2.4e-05
25.189592838287354,2.4e-05
25.281861782073975,2.4e-05
25.338277578353882,2.4e-05
25.43656826019287,2.4e-05
25.534679174423218,2.4e-05
25.57517409324646,2.4e-05
25.684629201889038,2.4e-05
25.749560356140137,2.4e-05
25.848901510238647,2.4e-05
25.905147790908813,2.4e-05
26.004583835601807,2.4e-05
26.062618732452393,2.4e-05
26.162804126739502,2.4e-05
26.219065189361572,2.4e-05
26.3051278591156,2.4e-05
26.40423345565796,2.4e-05
26.463903427124023,2.4e-05
26.564162015914917,2.4e-05
26.623446941375732,2.4e-05
26.72123384475708,2.4e-05
26.777654886245728,2.4e-05
26.870253801345825,2.4e-05
26.94426655769348,2.4e-05
27.04343032836914,2.4e-05
27.107848644256592,2.4e-05
27.19849920272827,2.4e-05
27.273767948150635,2.4e-05
27.347162008285522,2.4e-05
27.445782899856567,2.4e-05
27.519412755966187,2.4e-05
27.577261924743652,2.4e-05
27.669531106948853,2.4e-05
27.764053106307983,2.4e-05
27.820327758789062,2.4e-05
27.929807901382446,2.4e-05
27.99372959136963,2.4e-05
28.060465097427368,2.4e-05
28.16025447845459,2.4e-05
28.21693468093872,2.4e-05
28.30982804298401,2.4e-05
28.408785104751587,2.4e-05
28.465301752090454,2.4e-05
28.5567729473114,2.4e-05
28.62091588973999,2.4e-05
28.712552547454834,2.4e-05
28.777519464492798,2.4e-05
28.868478775024414,2.4e-05
28.970090627670288,2.4e-05
29.025521278381348,2.4e-05
29.12536859512329,2.4e-05
29.183162450790405,2.4e-05
29.283748865127563,2.4e-05
29.34995746612549,2.4e-05
29.434123277664185,2.4e-05
29.50626230239868,2.4e-05
29.588634490966797,2.4e-05
29.67952060699463,2.4e-05
29.74629044532776,2.4e-05
29.819806575775146,2.3e-05
29.904038667678833,2.4e-05
29.994301080703735,2.4e-05
